$Data, $aa, $acap, $aexp, $b, $cplx, $docu, $etat, $flex, $kloc, $ltex, $pcap, $pcon, $plex, $pmat, $pr, $prec, $pvol, $rely, $resl, $ruse, $sced, $site, $stor, $team, $time, $tool, <effort, <months, <defects, <risks
2.515, 5.078, 3.574, 2.746, 4.357, 1.719, 2.604, 3.222, 1.081, 17.845, 2.884, 4.794, 3.588, 3.094, 2.155, 3.131, 2.316, 4.793, 1.769, 2.904, 4.946, 3.0, 2.144, 3.308, 4.059, 3.444, 2.0, 74.184, 13.73, 595.466, 2.145
4.596, 1.748, 4.178, 4.356, 7.656, 1.953, 4.403, 4.352, 3.379, 207.645, 1.837, 4.46, 2.525, 1.36, 2.393, 5.799, 2.069, 2.217, 1.481, 2.962, 2.406, 3.0, 2.823, 3.849, 4.86, 3.969, 2.0, 754.74, 27.565, 3168.305, 3.217
4.059, 1.797, 3.447, 4.902, 6.802, 1.441, 4.706, 1.919, 2.307, 278.308, 3.98, 3.672, 1.828, 3.74, 2.909, 3.18, 1.29, 3.833, 1.818, 2.082, 3.54, 3.0, 4.507, 3.921, 3.233, 3.585, 2.0, 590.262, 26.389, 8780.052, 1.072
2.236, 3.96, 3.466, 4.277, 9.466, 2.51, 1.982, 5.149, 1.487, 18.111, 1.439, 3.317, 4.57, 1.025, 2.293, 5.649, 4.863, 2.863, 3.82, 4.358, 4.244, 3.0, 1.889, 3.113, 4.225, 3.838, 2.0, 82.605, 13.852, 106.075, 0.268
4.131, 3.574, 3.678, 4.635, 8.36, 2.41, 4.61, 1.378, 4.621, 67.885, 2.498, 4.985, 4.561, 2.732, 2.342, 3.209, 2.579, 2.054, 3.728, 2.847, 3.058, 3.0, 5.767, 3.986, 1.581, 3.487, 2.0, 158.18, 17.166, 743.225, 0.0
2.74, 2.633, 3.187, 4.499, 6.331, 1.671, 1.167, 1.718, 1.263, 370.86, 3.825, 3.028, 2.014, 2.389, 2.581, 5.201, 1.214, 4.467, 1.685, 3.7, 3.668, 3.0, 1.339, 3.416, 4.4, 3.694, 2.0, 1514.049, 34.831, 26859.701, 1.072
3.609, 1.916, 4.895, 2.918, 4.321, 2.479, 4.485, 3.481, 1.155, 264.717, 3.834, 3.58, 2.314, 2.051, 2.943, 1.48, 1.611, 2.868, 1.823, 1.88, 3.68, 3.0, 5.167, 3.114, 1.227, 3.083, 2.0, 1062.239, 33.057, 13005.737, 2.145
2.821, 2.505, 4.938, 3.199, 4.076, 1.916, 1.077, 3.57, 2.724, 164.934, 2.555, 3.466, 4.876, 2.589, 2.061, 4.775, 1.289, 4.131, 2.97, 4.807, 5.819, 3.0, 2.466, 3.477, 2.736, 3.882, 2.0, 579.859, 25.761, 5323.958, 1.072
4.339, 2.142, 4.218, 2.526, 9.854, 3.327, 3.072, 3.706, 2.175, 127.986, 3.284, 3.617, 4.709, 3.879, 2.129, 3.618, 4.493, 2.381, 2.503, 2.911, 3.111, 3.0, 4.309, 3.091, 4.586, 3.849, 2.0, 232.261, 18.93, 1002.714, 0.536
4.266, 1.428, 4.374, 3.374, 6.792, 2.507, 1.866, 4.08, 3.691, 199.081, 3.695, 4.672, 2.399, 2.137, 2.897, 5.647, 4.039, 4.169, 2.883, 1.761, 5.713, 3.0, 4.098, 3.032, 3.559, 3.017, 2.0, 552.226, 25.046, 6155.036, 1.072
4.869, 2.23, 3.868, 2.43, 9.703, 1.271, 2.056, 5.709, 1.856, 252.908, 1.97, 3.525, 1.832, 3.003, 2.894, 2.485, 4.616, 3.758, 1.837, 4.533, 5.569, 3.0, 1.847, 3.42, 1.248, 3.872, 2.0, 1485.543, 34.43, 10338.982, 2.413
4.522, 2.14, 3.119, 4.151, 5.789, 3.977, 4.748, 2.413, 1.294, 309.881, 2.236, 4.827, 1.357, 2.905, 2.065, 1.315, 2.113, 2.159, 2.956, 3.079, 5.672, 3.0, 4.163, 3.799, 3.96, 3.903, 2.0, 1985.81, 37.939, 16716.714, 0.536
